Unnamed: 0,Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL,Scraped_By,title,location,price,bedrooms,bathrooms,toilets,property_type,url
1.0,Luxury Standard Ensuit 2 Bedroom Terrace House,"In A Secured Est', Badore, Ajah, Lagos","₦ 4,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/badore/3311690-luxury-standard-ensuit-2-bedroom-terrace-house,data/ajah_properties.csv,,,,,,,,
,,,,,,,,,data/Island_Luxury_Data.csv,Fully Serviced 3-bedroom Apartment With Study & Maid's Room,"Old Ikoyi, Ikoyi, Lagos","₦40,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3303163-fully-serviced-3-bedroom-apartment-with-study-maids-room
,,,,,,,,,data/Island_Luxury_Data.csv,Top Rated Luxury 2 Bedroom Penthouse Apartment +bq+pool+gym,"Old Ikoyi Lagos, Ikoyi, Lagos","$40,000 per annum 
approx. ₦56,842,415",2.0,2.0,3.0,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3309447-top-rated-luxury-2-bedroom-penthouse-apartment-bqpoolgym
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury 3 Bedroom Apartment,"Ikoyi, Lagos","₦35,000,000 per annum",3.0,4.0,4.0,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/3309363-luxury-3-bedroom-apartment
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury 3 Bedroom Apartment 4th Floor,"Banana Island, Ikoyi, Lagos","₦45,000,000 per annum",3.0,4.0,4.0,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/banana-island/3309311-luxury-3-bedroom-apartment-4th-floor
,,,,,,,,,data/Island_Luxury_Data.csv,Well Maintained Luxury 4 Bedroom Apartment,"Buena Vista, Banana Island, Ikoyi, Lagos","₦55,000,000 per annum",4.0,4.0,5.0,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/2977543-well-maintained-luxury-4-bedroom-apartment
,,,,,,,,,data/Island_Luxury_Data.csv,Newly Built Three Bedroom Penthouse,"Ikoyi, Lagos","₦40,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3307486-newly-built-three-bedroom-penthouse
,,,,,,,,,data/Island_Luxury_Data.csv,Brand New Fully Serviced 3 Bedroom Penthouse,"Off Alexander Road, Old Ikoyi, Ikoyi, Lagos","₦40,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3309264-brand-new-fully-serviced-3-bedroom-penthouse
,,,,,,,,,data/Island_Luxury_Data.csv,Elegant 5bedroom,"Ikoyi, Lagos","₦118,400,000 per annum",5.0,0.0,0.0,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ikoyi/3309251-elegant-5bedroom
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury Fully Furnished 3 Bedroom Waterview Apartment With Pool & Gym,"Banana Island Road, Ikoyi, Lagos","₦40,000,000 per annum",3.0,0.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3309164-luxury-fully-furnished-3-bedroom-waterview-apartment-with-pool-gym
