Title,Price,Location,Bedrooms,Bathrooms,Property_Type,URL,Toilets,Parking_Space
Standard 3 Bedroom Off-Plan Apartments,350000000,"Lekki Phase 1,  Lekki,  Lagos",3.0,3.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3464043-standard-3-bedroom-off-plan-apartments,4.0,2.0
Luxury 5 Bedroom Semi Detached Duplex + BQ in a Secured Estate,350000000,"Lekki,  Lagos",,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/victoria-garden-city/3537800-luxury-5-bedroom-semi-detached-duplex-bq-in-a-secured-estate,,
Luxury 5 Bedroom Semi Detached Duplex + BQ in a Secured Estate,350000000,"Lekki,  Lagos",5.0,5.0,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/victoria-garden-city/3537800-luxury-5-bedroom-semi-detached-duplex-bq-in-a-secured-estate,6.0,2.0
"Luxury 2 Bedroom Apartment with Pool, Elevator, Concierge",120000000,"Lekki,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3437935-luxury-2-bedroom-apartment-with-pool-elevator-concierge,,
"Luxury 2 Bedroom Apartment with Pool, Elevator, Concierge",120000000,"Lekki,  Lagos",2.0,2.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3437935-luxury-2-bedroom-apartment-with-pool-elevator-concierge,3.0,2.0
"Luxury 5 Bedroom Semi Detached Duplex + BQ, Pool, Cinema, Open Terrace",850000000,"Lekki,  Lagos",,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikate/3480837-luxury-5-bedroom-semi-detached-duplex-bq-pool-cinema-open-terrace,,
"Luxury 5 Bedroom Semi Detached Duplex + BQ, Pool, Cinema, Open Terrace",850000000,"Lekki,  Lagos",5.0,5.0,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikate/3480837-luxury-5-bedroom-semi-detached-duplex-bq-pool-cinema-open-terrace,6.0,4.0
Lovely 4 Bedroom Terrace Duplex,140000000,"Ajah,  Lagos",,,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3528712-lovely-4-bedroom-terrace-duplex,,
Lovely 4 Bedroom Terrace Duplex,140000000,"Ajah,  Lagos",4.0,4.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3528712-lovely-4-bedroom-terrace-duplex,5.0,2.0
"Luxury 5 Bedroom Detached Duplex + BQ, Pool",290000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3528872-luxury-5-bedroom-detached-duplex-bq-pool,,
"Luxury 5 Bedroom Detached Duplex + BQ, Pool",290000000,"Ajah,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3528872-luxury-5-bedroom-detached-duplex-bq-pool,6.0,4.0
Nicely Built 2 Bedroom Apartment in a Secured Estate,114000000,"Sangotedo,  Ajah,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/sangotedo/3529258-nicely-built-2-bedroom-apartment-in-a-secured-estate,,
Nicely Built 2 Bedroom Apartment in a Secured Estate,114000000,"Sangotedo,  Ajah,  Lagos",2.0,2.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ajah/sangotedo/3529258-nicely-built-2-bedroom-apartment-in-a-secured-estate,3.0,2.0
5bed 5bath 4cars Fully Detached Duplex with Swimming Pool,260000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544716-5bed-5bath-4cars-fully-detached-duplex-with-swimming-pool,,
5bed 5bath 4cars Fully Detached Duplex with Swimming Pool,260000000,"Ajah,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544716-5bed-5bath-4cars-fully-detached-duplex-with-swimming-pool,6.0,
"Luxurious 8 Bedroom Mansion + BQ, & Large Penthouse",460000000,"Opic,  Isheri North,  Lagos",,,House for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/isheri-north/opic/3544501-luxurious-8-bedroom-mansion-bq-large-penthouse,,
"Luxurious 8 Bedroom Mansion + BQ, & Large Penthouse",460000000,"Opic,  Isheri North,  Lagos",8.0,11.0,House for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/isheri-north/opic/3544501-luxurious-8-bedroom-mansion-bq-large-penthouse,11.0,7.0
5bed 5bath 4cars Fully Detached Duplex with Swimming Pool,350000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544710-5bed-5bath-4cars-fully-detached-duplex-with-swimming-pool,,
5bed 5bath 4cars Fully Detached Duplex with Swimming Pool,350000000,"Ajah,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3544710-5bed-5bath-4cars-fully-detached-duplex-with-swimming-pool,6.0,
Luxury 5bedroom Fully Detached Duplex,550000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3544706-luxury-5bedroom-fully-detached-duplex,,
Luxury 5bedroom Fully Detached Duplex,550000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3544706-luxury-5bedroom-fully-detached-duplex,6.0,
4 Bedroom Fully Detached Duplex with BQ,170000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3459176-4-bedroom-fully-detached-duplex-with-bq,,
4 Bedroom Fully Detached Duplex with BQ,170000000,"Ajah,  Lagos",4.0,4.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3459176-4-bedroom-fully-detached-duplex-with-bq,5.0,
Luxury 6 Bedroom Fully Detached Duplex with Pool and Cinema,1400000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3544662-luxury-6-bedroom-fully-detached-duplex-with-pool-and-cinema,,
Luxury 6 Bedroom Fully Detached Duplex with Pool and Cinema,1400000000,"Lekki,  Lagos",6.0,6.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3544662-luxury-6-bedroom-fully-detached-duplex-with-pool-and-cinema,7.0,
Self Compound 4 Bedroom Semi-Detached Duplex with BQ,230000000,"Lekki,  Lagos",,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/3544660-self-compound-4-bedroom-semi-detached-duplex-with-bq,,
Self Compound 4 Bedroom Semi-Detached Duplex with BQ,230000000,"Lekki,  Lagos",4.0,4.0,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/3544660-self-compound-4-bedroom-semi-detached-duplex-with-bq,5.0,2.0
Nice 5 Bedrooms Fully Detached Duplex with a BQ and Pool,480000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544632-nice-5-bedrooms-fully-detached-duplex-with-a-bq-and-pool,,
Nice 5 Bedrooms Fully Detached Duplex with a BQ and Pool,480000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3544632-nice-5-bedrooms-fully-detached-duplex-with-a-bq-and-pool,6.0,3.0
Well Renovated 4 Bedroom Semi-Detached Duplex with BQ,850000000,"Victoria Island,  Lagos",,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/victoria-island/3544649-well-renovated-4-bedroom-semi-detached-duplex-with-bq,,
Well Renovated 4 Bedroom Semi-Detached Duplex with BQ,850000000,"Victoria Island,  Lagos",4.0,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/victoria-island/3544649-well-renovated-4-bedroom-semi-detached-duplex-with-bq,5.0,4.0
Well Maintained 3 Bedrooms Flat Plus BQ,180000000,"Victoria Island,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3544646-well-maintained-3-bedrooms-flat-plus-bq,,
Well Maintained 3 Bedrooms Flat Plus BQ,180000000,"Victoria Island,  Lagos",3.0,3.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3544646-well-maintained-3-bedrooms-flat-plus-bq,4.0,2.0
